year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1997,1998,70,BEST PICTURE,BEST PICTURE,James L. Brooks/Bridget Johnson/Kristi Zea,As Good as It Gets,False
1997,1998,70,SOUND,SOUND MIXING,Paul Massey/Rick Kline/D. M. Hemphill/Keith A. Wester,Air Force One,False
1997,1998,70,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Adapted Screenplay),Paul Attanasio,Donnie Brasco,False
1997,1998,70,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Mark Andrus/James L. Brooks,As Good as It Gets,False
1997,1998,70,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Paul Thomas Anderson,Boogie Nights,False
1998,1999,71,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Edward Norton,American History X,False
1998,1999,71,ART DIRECTION,ART DIRECTION,Eugenio Zanetti/Cindy Carr,What Dreams May Come,False
1998,1999,71,DOCUMENTARY (Feature),DOCUMENTARY (Feature),James Moll/Ken Lipper,The Last Days,True
1998,1999,71,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Argentina,Tango,False
1998,1999,71,SHORT FILM (Live Action),SHORT FILM (Live Action),Simon Sandquist/Joel Bergvall,Victor,False
1998,1999,71,SOUND,SOUND MIXING,Kevin O'Connell/Greg P. Russell/Pud Cusack,The Mask of Zorro,False
1998,1999,71,SOUND EFFECTS EDITING,SOUND EDITING,David McMoyler,The Mask of Zorro,False
1998,1999,71,VISUAL EFFECTS,VISUAL EFFECTS,Joel Hynek/Nicholas Brooks/Stuart Robertson/Kevin Mack,What Dreams May Come,True
1999,2000,72,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,True
1999,2000,72,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Tom Cruise,Magnolia,False
1999,2000,72,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Jude Law,The Talented Mr. Ripley,False
1999,2000,72,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Annette Bening,American Beauty,False
1999,2000,72,ART DIRECTION,ART DIRECTION,Roy Walker/Bruno Cesari,The Talented Mr. Ripley,False
1999,2000,72,CINEMATOGRAPHY,CINEMATOGRAPHY,Conrad L. Hall,American Beauty,True
1999,2000,72,COSTUME DESIGN,COSTUME DESIGN,Ann Roth/Gary Jones,The Talented Mr. Ripley,False
1999,2000,72,DIRECTING,DIRECTING,Sam Mendes,American Beauty,True
1999,2000,72,FILM EDITING,FILM EDITING,Tariq Anwar/Christopher Greenbury,American Beauty,False
1999,2000,72,FILM EDITING,FILM EDITING,Zach Staenberg,The Matrix,True
1999,2000,72,MAKEUP,MAKEUP AND HAIRSTYLING,Michèle Burke/Mike Smithson,Austin Powers: The Spy Who Shagged Me,False
1999,2000,72,MAKEUP,MAKEUP AND HAIRSTYLING,Rick Baker,Life,False
1999,2000,72,MUSIC (Original Score),MUSIC (Original Score),Thomas Newman,American Beauty,False
1999,2000,72,MUSIC (Original Score),MUSIC (Original Score),Gabriel Yared,The Talented Mr. Ripley,False
1999,2000,72,MUSIC (Original Song),MUSIC (Original Song),Aimee Mann,Magnolia,False
1999,2000,72,MUSIC (Original Song),MUSIC (Original Song),Phil Collins,Tarzan,True
1999,2000,72,BEST PICTURE,BEST PICTURE,Bruce Cohen/Dan Jinks,American Beauty,True
1999,2000,72,SOUND,SOUND MIXING,John Reitz/Gregg Rudloff/David Campbell/David Lee,The Matrix,True
1999,2000,72,SOUND EFFECTS EDITING,SOUND EDITING,Dane A. Davis,The Matrix,True
1999,2000,72,VISUAL EFFECTS,VISUAL EFFECTS,John Gaeta/Janek Sirrs/Steve Courtley/Jon Thum,The Matrix,True
1999,2000,72,VISUAL EFFECTS,VISUAL EFFECTS,John Dykstra/Jerome Chen/Henry F. Anderson III/Eric Allard,Stuart Little,False
1999,2000,72,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Adapted Screenplay),Anthony Minghella,The Talented Mr. Ripley,False
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Alan Ball,American Beauty,True
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Paul Thomas Anderson,Magnolia,False
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Julie Walters,Billy Elliot,False
2000,2001,73,ART DIRECTION,ART DIRECTION,Tim Yip,"Crouching Tiger, Hidden Dragon",True
2000,2001,73,CINEMATOGRAPHY,CINEMATOGRAPHY,Peter Pau,"Crouching Tiger, Hidden Dragon",True
2000,2001,73,COSTUME DESIGN,COSTUME DESIGN,Tim Yip,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,DIRECTING,DIRECTING,Stephen Daldry,Billy Elliot,False
2000,2001,73,DIRECTING,DIRECTING,Ang Lee,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,FILM EDITING,FILM EDITING,Tim Squyres,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,Taiwan,"Crouching Tiger, Hidden Dragon",True
2000,2001,73,MAKEUP,MAKEUP AND HAIRSTYLING,Michèle Burke/Edouard Henriques,The Cell,False
2000,2001,73,MUSIC (Original Score),MUSIC (Original Score),Tan Dun,"Crouching Tiger, Hidden Dragon",True
2000,2001,73,MUSIC (Original Song),MUSIC (Original Song),Jorge Calandrelli/Tan Dun/James Schamus,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,BEST PICTURE,BEST PICTURE,Bill Kong/Hsu Li Kong/Ang Lee,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,SOUND EDITING,SOUND EDITING,Alan Robert Murray/Bub Asman,Space Cowboys,False
2000,2001,73,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Adapted Screenplay),Wang Hui Ling/James Schamus/Tsai Kuo Jung,"Crouching Tiger, Hidden Dragon",False
2000,2001,73,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Lee Hall,Billy Elliot,False
2001,2002,74,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Sean Penn,I Am Sam,False
2001,2002,74,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,True
2001,2002,74,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,True
2001,2002,74,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Training Day,False
2001,2002,74,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,False
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Helen Mirren,Gosford Park,False
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,Gosford Park,False
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Iris,False
2001,2002,74,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,Steve Oedekerk/John A. Davis,Jimmy Neutron: Boy Genius,False
2001,2002,74,ART DIRECTION,ART DIRECTION,Stephen Altman/Anna Pinnock,Gosford Park,False
2001,2002,74,CINEMATOGRAPHY,CINEMATOGRAPHY,Slawomir Idziak,Black Hawk Down,False
2001,2002,74,COSTUME DESIGN,COSTUME DESIGN,Jenny Beavan,Gosford Park,False
2001,2002,74,DIRECTING,DIRECTING,Ridley Scott,Black Hawk Down,False
2001,2002,74,DIRECTING,DIRECTING,Robert Altman,Gosford Park,False
2001,2002,74,FILM EDITING,FILM EDITING,Pietro Scalia,Black Hawk Down,True
2001,2002,74,FOREIGN LANGUAGE FILM,INTERNATIONAL FEATURE FILM,India,Lagaan,False
2001,2002,74,MUSIC (Original Song),MUSIC (Original Song),Sting,Kate & Leopold,False
2001,2002,74,BEST PICTURE,BEST PICTURE,Robert Altman/Bob Balaban/David Levy,Gosford Park,False
2001,2002,74,SHORT FILM (Animated),SHORT FILM (Animated),Ralph Eggleston,For the Birds,True
2001,2002,74,SOUND,SOUND MIXING,Michael Minkler/Myron Nettinga/Chris Munro,Black Hawk Down,True
2001,2002,74,WRITING (Screenplay Written Directly for the Screen),WRITING (Original Screenplay),Julian Fellowes,Gosford Park,True
2002,2003,75,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True
2002,2003,75,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,Gangs of New York,False
2002,2003,75,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Christopher Walken,Catch Me If You Can,False
