Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
51,Beasts of No Nation,2015,91%,"Beasts of No Nation finds writer-director Cary Fukunaga working with a talented cast to offer a sobering, uncompromising, yet still somehow hopeful picture of war's human cost.","As civil war rages in Africa, a fierce warlord (Idris Elba) trains a young orphan (Abraham Attah) to join his [More]","Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan",Cary Joji Fukunaga
52,The Squid and the Whale,2005,91%,"This is a piercingly honest, acidly witty look at divorce and its impact on a family.","A pair of brothers living in Brooklyn are caught in the middle of, and deeply affected by, the divorce of [More]","Jeff Daniels, Laura Linney, Jesse Eisenberg, Owen Kline",Noah Baumbach
53,Apollo 10 1/2: A Space Age Childhood,2022,91%,"The sweetly nostalgic Apollo 10 1/2: A Space Age Childhood finds Richard Linklater reusing visual and thematic ingredients in a deeply personal, freshly inspired way.",Apollo 10 ½: A Space Age Childhood tells the story of the first moon landing in the summer of 1969 [More],"Jack Black, Bill Wise, Lee Eddy, Milo Coy",Richard Linklater
54,The White Tiger,2021,91%,"Well-acted and beautifully made, The White Tiger distills the strengths of its source material into a grimly compelling drama.",Balram Halwai (Adarsh Gourav) narrates his epic and darkly humorous rise from poor villager to successful entrepreneur in modern India. [More],"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha",Ramin Bahrani
55,Gerald's Game,2017,91%,Carla Gugino carries Gerald's Game's small-scale suspense with a career-defining performance.,"A woman accidentally kills her husband during a kinky game. Handcuffed to her bed with no hope of rescue, she [More]","Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",Mike Flanagan
56,Woman of the Hour,2023,91%,"Deftly directed by star Anna Kendrick, Woman of the Hour uses an incredible true story as the foundation for a powerful examination of the intersection between systemic misogyny and violence.",An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of [More],"Anna Kendrick, Tony Hale, Kelley Jakle, Max Lloyd-Jones",Anna Kendrick
57,May December,2023,91%,"Swaddling its difficult fact-based story in a blanket of campy humor, May December is a seductively discomfiting watch.","Twenty years after their notorious tabloid romance gripped the nation, Gracie Atherton-Yu and her husband Joe (twenty-three years her junior) [More]","Natalie Portman, Julianne Moore, Cory Michael Smith, Charles Melton",Todd Haynes
58,You Are So Not Invited to My Bat Mitzvah,2023,91%,"A coming-of-age comedy that sidesteps simple nostalgia, You Are So Not Invited to My Bat Mitzvah finds fresh humor in adolescent anxiety -- and suggests a bright future for star Sunny Sandler.","Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. However, things start to go comically awry [More]","Idina Menzel, Jackie Sandler, Adam Sandler, Sadie Sandler",Sammi Cohen
59,High Flying Bird,2019,91%,High Flying Bird takes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.,A sports agent pitches a controversial business opportunity to a rookie basketball player during a lockout. [More],"André Holland, Zazie Beetz, Bill Duke, Sonja Sohn",Steven Soderbergh
60,All Quiet on the Western Front,2022,90%,"Both timely and timeless, All Quiet on the Western Front retains the power of its classic source material by focusing on the futility of war.",All Quiet on the Western Front tells the gripping story of a young German soldier on the Western Front of [More],"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus",Edward Berger
61,Society of the Snow,2023,90%,"Society of the Snow brings masterful technical skill to bear on its tale of real-life tragedy, but none of that spectacle comes at the expense of its simple, powerful message.","In 1972, Uruguayan Air Force Flight 571, which had been chartered to fly a rugby team to Chile, crashed in [More]","Enzo Vogrincic, Agustín Pardella, Esteban Bigliardi, Simón Hempe",J. A. Bayona
62,On Body and Soul,2017,90%,"Tender performances and a strong sense of style combine to create an eccentric, dreamy portrait of love and loneliness in On Body and Soul.","When a man and woman who meet at work begin to know each other, they discover that they have the [More]","Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy",Ildikó Enyedi
63,Hereditary,2018,90%,"Hereditary uses its classic setup as the framework for a harrowing, uncommonly unsettling horror film whose cold touch lingers long beyond the closing credits.","When the matriarch of the Graham family passes away, her daughter and grandchildren begin to unravel cryptic and increasingly terrifying [More]","Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd",Ari Aster
64,Spider-Man,2002,90%,"Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.","""Spider-Man"" centers on student Peter Parker (Tobey Maguire) who, after being bitten by a genetically-altered spider, gains superhuman strength and [More]","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",Sam Raimi
65,The Kindergarten Teacher,2018,90%,"Elevated by a bravura performance from Maggie Gyllenhaal, The Kindergarten Teacher is one American remake that retains its impact the second time around.",A teacher sees such great promise in her 5-year-old student that she goes to unreasonable lengths to protect his talent. [More],"Maggie Gyllenhaal, Gael García Bernal, Michael Chernus, Anna Baryshnikov",Sara Colangelo
66,The Trial of the Chicago 7,2020,89%,"An actors' showcase enlivened by its topical fact-based story, The Trial of the Chicago 7 plays squarely -- and compellingly -- to Aaron Sorkin's strengths.","In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the [More]","Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong",Aaron Sorkin
