Rank,Title,Year,Tomatometer,Critics Consensus,Synopsis,Starring,Directed By
1,Wallace & Gromit: Vengeance Most Fowl,2024,100%,"Comforting as cheese and crackers, with some gentle ribbing of modern technology sprinkled on top, Vengeance Most Fowl revives this lovable pair with all their charm intact.","Aardman's four-time Academy Award®-winning director Nick Park and Emmy Award-nominated Merlin Crossingham return with a brand new epic adventure, Wallace [More]","Ben Whitehead, Peter Kay, Lauren Patel, Reece Shearsmith","Merlin Crossingham, Nick Park"
2,His House,2020,100%,"Featuring genuine scares through every corridor, His House is a terrifying look at the specters of the refugee experience and a stunning feature debut for Remi Weekes.","A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new [More]","Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John",Remi Weekes
3,Godzilla Minus One,2023,99%,"With engaging human stories anchoring the action, Godzilla Minus One is one kaiju movie that remains truly compelling between the scenes of mass destruction.",Japan is already devastated by the war when a new crisis emerges in the form of a giant monster. [More],"Ryûnosuke Kamiki, Minami Hamabe, Munetaka Aoki, Hidetaka Yoshioka",Takashi Yamazaki
4,Parasite,2019,99%,"An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan. [More],"Song Kang-ho, Lee Sun-kyun, Jo Yeo-jeong, Choi Woo-sik",Bong Joon Ho
5,The Forty-Year-Old Version,2020,99%,The Forty-Year-Old Version opens a compelling window into the ebbs and flows of the artist's life -- and announces writer-director-star Radha Blank as a major filmmaking talent with her feature debut.,"Radha, a down-on-her-luck NY playwright, is desperate for a breakthrough before 40. But when she foils what seems like her [More]","Welker White, Reed Birney, Radha Blank, Peter Kim",Radha Blank
6,Under the Shadow,2016,99%,Under the Shadow deftly blends seemingly disparate genres to deliver an effective chiller with timely themes and thought-provoking social subtext.,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was [More]","Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian",Babak Anvari
7,Miss Juneteenth,2020,99%,"Like a pageant winner walking across the stage, Miss Juneteenth follows a familiar path -- but does so with charm and grace.","A former beauty queen and single mom prepares her rebellious teenage daughter for the ""Miss Juneteenth"" pageant. [More]","Nicole Beharie, Kendrick Sampson, Alexis Chikaeze, Lori Hayes",Channing Godfrey Peoples
8,Schindler's List,1993,98%,Schindler's List blends the abject horror of the Holocaust with Steven Spielberg's signature tender humanism to create the director's dramatic masterpiece.,"Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which [More]","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg
9,Psycho,1960,97%,"Infamous for its shower scene, but immortal for its contribution to the horror genre. Because Psycho was filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it.","Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away [More]","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",Alfred Hitchcock
10,Dolemite Is My Name,2019,97%,"In dramatizing Rudy Ray Moore's stranger-than-fiction story, Eddie Murphy makes Dolemite Is My Name just as bold, brash, and ultimately hard to resist as its subject.","Performer Rudy Ray Moore develops an outrageous character named Dolemite, who becomes an underground sensation and star of a kung-fu, [More]","Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee, Keegan-Michael Key",Craig Brewer
11,Mudbound,2017,97%,"Mudbound offers a well-acted, finely detailed snapshot of American history whose scenes of rural class struggle resonate far beyond their period setting.","Set in the rural American South during World War II, Dee Rees' Mudbound is an epic story of two families [More]","Carey Mulligan, Jason Clarke, Jason Mitchell, Mary J. Blige",Dee Rees
12,I Lost My Body,2019,97%,"Beautifully animated and utterly unique, I Lost My Body takes audiences on a singularly strange journey whose unexpected contours lead to a wholly satisfying destination.","A severed hand escapes from a dissection lab, determined to find its body again. [More]","Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Belek Abdelmalek",Jérémy Clapin
13,Ma Rainey's Black Bottom,2020,97%,"Framed by a pair of powerhouse performances, Ma Rainey's Black Bottom pays affectionate tribute to a blues legend -- and Black culture at large.","Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her [More]","Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo",George C. Wolfe
14,Apollo 13,1995,96%,"In recreating the troubled space mission, Apollo 13 pulls no punches: it's a masterfully told drama from director Ron Howard, bolstered by an ensemble of solid performances.","This Hollywood drama is based on the events of the Apollo 13 lunar mission, astronauts Jim Lovell (Tom Hanks), Fred [More]","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Ron Howard
15,Roma,2018,96%,"Roma finds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career.",Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s [More],"Yalitza Aparicio, Marina de Tavira, Marco Graf, Fernando Grediaga",Alfonso Cuarón
16,Rebel Ridge,2024,95%,"An intelligent and gripping vehicle for Aaron Pierre's star-making performance, Rebel Ridge lays down the law on its action-thriller contemporaries.",Terry Richmond enters the town of Shelby Springs on a simple but urgent mission-- post bail for his cousin and [More],"Aaron Pierre, Don Johnson, AnnaSophia Robb, David Denman",Jeremy Saulnier
17,To All the Boys I've Loved Before,2018,96%,"To All the Boys I've Loved Before plays by the teen rom-com rules, but relatable characters and a thoroughly charming cast more than make up for a lack of surprises.",A teenage girl's love letters are exposed and wreak havoc on her life. [More],"Lana Condor, John Corbett, Noah Centineo, Emilija Baranac",Susan Johnson
18,Outside In,2017,96%,"Brilliantly brought to life by tenderly empathetic performances from Jay Duplass and Edie Falco, Outside In tells a sobering -- yet thoroughly absorbing -- story.",An ex-convict tries to readjust to life in his small town and forms an intense relationship with his former high [More],"Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz",Lynn Shelton
19,Atlantics,2019,96%,"An unpredictable supernatural drama rooted in real-world social commentary, Atlantique suggests a thrillingly bright future for debuting filmmaker Mati Diop.","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a [More]","Mama Sané, Amadou Mbow, Ibrahima Traoré, Amina Kane",Mati Diop
