show_id,type,title,director,cast,country,date_added,release_year,age_rating,movie_runtime,genre,IMDB Rating,description
s688,Movie,Jagame Thandhiram,Karthik Subbaraj,"Dhanush, Aishwarya Lekshmi, James Cosmo, Joju George, Kalaiyarasan",,18-Jun-21,2021,TV-MA,159 min,"Action & Adventure, Dramas, International Movies",,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow."
tm856634,Movie,Jagame Thandhiram,,,"['GB', 'IN']",,2021,,158 min,"['crime', 'comedy', 'drama', 'thriller', 'action']",6.4,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow."
s3952,Movie,Jagat,Shanjey Kumar Perumal,"Harvind Raj, Jibrail Rajhula, Tinesh Sarathi Krishnan, Kuben Mahadevan, Senthil Kumaran Muniandy",Malaysia,2-Apr-19,2015,TV-MA,76 min,"Dramas, International Movies",,"In early 1990s Malaysia, a Tamilian boy faces pressure from his immigrant father to focus on school but is drawn to his uncles’ lives of crime."
s4572,Movie,Jagga Jasoos,Anurag Basu,"Ranbir Kapoor, Katrina Kaif, Saurabh Shukla, Saswata Chatterjee, Rajatabha Dutta, Saravajeet Tiwari",India,1-Oct-18,2017,TV-14,155 min,"Action & Adventure, Comedies, International Movies",,"An eccentric, self-proclaimed detective goes on an action-packed hunt for his missing father, with an awkward but adventurous journalist by his side."
tm307774,Movie,Jagga Jasoos,,,['IN'],,2017,PG,180 min,"['romance', 'action', 'comedy']",6,A gifted teenage detective searches for his missing father with his ladylove assistant.
s2816,Movie,Jai Mummy Di,Navjot Gulati,"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonalli Sehgall, Rajendra Sethi, Veer Rajwant Singh, Danish Husain, Alok Nath",India,14-Mar-20,2020,TV-MA,101 min,"Comedies, International Movies, Romantic Movies",,"Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war."
tm483511,Movie,Jai Mummy Di,,,['IN'],,2020,,103 min,"['romance', 'comedy', 'drama']",6.6,Jai Mummy Di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.
s7116,Movie,Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Manoj Bajpayee, Mugdha Godse, Arya Babbar, Chetan Pandit, Rahul Singh, Navni Parihar, Manish Mehta",India,31-Dec-19,2009,TV-14,132 min,"Dramas, International Movies",,"Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial."
s4885,Movie,Jailbreak,Jimmy Henderson,"Jean-Paul Ly, Dara Our, Tharoth Sam, Dara Phang, Celine Tran, Savin Phillip, Sok Visal",Cambodia,2-May-18,2017,TV-MA,92 min,"Action & Adventure, International Movies",,Four cops escorting a mobster to a high-security prison fight for survival when a gang boss orchestrates a riot from outside to silence their charge.
tm287041,Movie,Jailbreak,,,['KH'],,2017,,100 min,"['action', 'comedy']",5.8,"What started as a simple escort mission will soon turn to chaos as the prisoners of Koh Kla take over the prison grounds. A special task force [Jean-Paul Ly, Dara Our, Tharoth Sam] gets trapped in the prison will have to fight their way out for survival, to protect a key witness [Savin Phillip]."
s7117,Movie,Jake's Buccaneer Blast,,"Megan Richie, Riley Thomas Stewart, Jadon Sand, David Arquette, Jeff Bennett, Corey Burton, Adam Wylie, Dee Bradley Baker",,6-Aug-17,2014,TV-Y,22 min,Movies,,"Jake, Izzy, Cubby and Skully face off against the scheming Captain Hook in a race to find special treasures hidden all around Never Land."
s7118,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,15-Oct-17,2013,TV-14,132 min,"Dramas, Independent Movies, International Movies",,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.
s7119,Movie,Jalpari: The Desert Mermaid,Nila Madhab Panda,"Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay, V.M. Badola, Tannishtha Chatterjee, Rahul Singh, Harsh Mayar",India,19-May-18,2012,TV-14,94 min,"Dramas, Independent Movies, International Movies",,"When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets."
s7120,Movie,Janaan,Azfar Jafri,"Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz",Pakistan,15-Sep-17,2016,TV-14,132 min,"Comedies, Dramas, International Movies",,"After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin."
s5799,Movie,Jandino: Whatever it Takes,,Jandino Asporaat,United Kingdom,9-Sep-16,2016,TV-MA,94 min,Stand-Up Comedy,,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
tm244041,Movie,Jandino: Whatever it Takes,,,"['GB', 'NL']",,2016,,94 min,['comedy'],5,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
s4809,Movie,Jani Dueñas: Grandes fracasos de ayer y hoy,"Raúl Campos, Jan Suter",Jani Dueñas,Chile,29-Jun-18,2018,TV-MA,77 min,Stand-Up Comedy,,"Chilean comedian and personality Jani Dueñas pours out her feelings on issues that are all too universal, from aging to dieting to sex."
tm376709,Movie,Jani Dueñas: Grandes fracasos de ayer y hoy,,,"['CL', 'MX', 'US']",,2018,,77 min,['comedy'],6,"Radio broadcaster, actress and comedian Jani Dueñas brings her acid sense of humor to this stand-up special as she pours out her feelings on issues that are all too universal, from aging to dieting to sex."
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,1-Sep-21,2016,TV-MA,88 min,Comedies,,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
